time,pos
0.1, 191
23.4, 196
45.3, 201
66.5, 207.5
87.7, 213.5
109.1, 220
130.5, 225.5
158.4, 232.5
179.7, 236.5
201.1, 239.5
222.5, 242
244.9, 242.5
266.4, 242
288.7, 241
310.0, 238
331.0, 235
352.6, 231
373.8, 226
395.3, 221.5
416.4, 217
438.0, 212.5
459.2, 208.5
480.7, 205
501.9, 202
523.2, 200.5
544.7, 199
566.1, 199
587.4, 199.5
608.8, 201
630.0, 203
651.3, 206
672.7, 209
694.0, 211
715.3, 215.5
736.7, 219
758.0, 222.5
779.6, 225.5
800.7, 227.5
822.1, 229.5
843.4, 230.5
865.9, 231.5
887.4, 231
908.5, 230.5
929.9, 229
951.3, 227
972.7, 225
994.0, 222.5
1015.3, 220
1036.7, 217.5
1058.3, 215
1079.3, 212.5
1100.7, 210.5
1122.0, 209
1143.7, 207.5
1164.7, 207
1186.1, 207
1207.5, 207.5
1228.8, 208
1250.4, 209
1271.6, 210.5
1292.9, 212
1314.3, 214.5
1335.6, 216
1357.1, 218
1378.2, 220
1399.6, 221.5
1420.9, 223
1442.3, 224
1463.9, 224.5
1485.1, 225
1506.4, 225
1527.9, 224.5
1549.2, 223.5
1570.5, 223
1591.7, 221.5
1613.1, 220
1634.6, 219
1656.9, 217
1678.2, 216
1699.5, 214.5
1720.9, 213.5
1742.4, 212.5
1763.6, 212
1785.1, 211.5
1806.6, 211.5
1828.0, 211.5
1850.3, 212
1871.7, 212.5
1892.9, 213
1914.3, 214
1935.6, 215.5
1957.0, 216.5
1978.4, 217.6
1999.5, 218.5
2021.0, 219.5
2042.3, 220.5
2063.9, 221
2085.6, 221.5
2107.4, 221.5
2128.7, 221.5
2150.6, 221.5
2172.7, 221
2193.9, 220.5
2215.4, 219.5
2236.5, 219
2258.0, 218
2279.3, 217
2300.7, 216.5
2322.1, 215.5
2343.4, 215
2364.9, 214.5
2386.2, 214



